Pathways	Compounds of pathway	Reactions of pathway	SMILES
assimilatory sulfate reduction I	NADPH // H2O // NADP+ // hydrogen sulfide // a reduced thioredoxin // adenosine 3',5'-bisphosphate // sulfite // an oxidized thioredoxin // diphosphate // sulfate // ADP // 3'-phosphoadenylyl-sulfate // H+ // adenosine 5'-phosphosulfate // ATP	adenosine 5'-phosphosulfate + ATP  ->  3'-phosphoadenylyl-sulfate + ADP + H+ // sulfate + ATP + H+  <-->  adenosine 5'-phosphosulfate + diphosphate // adenosine 3',5'-bisphosphate + sulfite + oxidized thioredoxin + 2 H+  <-  3'-phosphoadenylyl-sulfate + reduced thioredoxin // hydrogen sulfide + 3 NADP+ + 3 H2O  <-  sulfite + 3 NADPH + 5 H+	C1(\N(/C=C(C\C=1)/C(=O)N)[C@@H]2(O[C@@H]([C@H]([C@H]2O)O)COP(OP(OC[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](OP([O-])(=O)[O-])[C@H](O)5))(=O)[O-])(=O)[O-])) // O // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // S // C(S)C(C(=O)NC([R1])C(=O)NC([R2])C(=O)NC(CS)C(=O)[a thioredoxin])N[a thioredoxin] // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](OP([O-])(=O)[O-])3) // [O-]S([O-])=O // C1(=O)(NC([R2])C(=O)NC(CSSCC(N[a thioredoxin])C(=O)NC([R1])1)C(=O)[a thioredoxin]) // O=P(O)(OP([O-])([O-])=O)[O-] // O=S(=O)([O-])[O-] // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OS(=O)([O-])=O)[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](OP([O-])(=O)[O-])3) // [H+] // C(OP([O-])(OS(=O)([O-])=O)=O)[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
choline biosynthesis III	diphosphate // phosphocholine // CTP // choline // a phosphatidate // H2O // H+ // CMP // a phosphatidylcholine // a 1,2-diacyl-sn-glycerol // CDP-choline	a 1,2-diacyl-sn-glycerol + CDP-choline  ->  a phosphatidylcholine + CMP + H+ // a phosphatidylcholine + H2O  ->  a phosphatidate + choline + H+ // phosphocholine + CTP + H+  ->  CDP-choline + diphosphate	O=P(O)(OP([O-])([O-])=O)[O-] // C[N+](CCOP([O-])([O-])=O)(C)C // C(OP(OP(OP(=O)([O-])[O-])([O-])=O)(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O) // C(CO)[N+](C)(C)C // C(OC([R1])=O)[C@@H](OC(=O)[R2])COP([O-])(=O)[O-] // O // [H+] // C(OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O) // C([N+](C)(C)C)COP(=O)(OC[C@H](OC([R2])=O)COC([R1])=O)[O-] // C(O)[C@@H](COC(=O)[R1])OC(=O)[R2] // C[N+](C)(C)CCOP(OP(OC[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O))(=O)[O-])([O-])=O
4-aminobenzoate biosynthesis	H2O // ammonia // L-glutamate // L-glutamine // chorismate // pyruvate // 4-aminobenzoate // H+ // 4-amino-4-deoxychorismate	4-amino-4-deoxychorismate  ->  4-aminobenzoate + pyruvate + H+ // L-glutamine + chorismate  ->  4-amino-4-deoxychorismate + L-glutamate	O // N // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // C(=O)(N)CC[C@H]([NH3+])C([O-])=O // C=C(C(=O)[O-])O[C@H]1([C@H](O)\C=C/C(/C([O-])=O)=C\1) // CC(=O)C(=O)[O-] // C(=O)([O-])C1(\C=C/C(/N)=C\C=1) // [H+] // C=C(C(=O)[O-])O[C@H]1([C@H]([NH3+])\C=C/C(/C([O-])=O)=C\1)
superpathway of tetrahydrofolate biosynthesis	ammonia // ADP // 7,8-dihydrofolate monoglutamate // 7,8-dihydropteroate // NADPH // a 7,8-dihydrofolate // a tetrahydrofolate // NADP+ // AMP // (7,8-dihydropterin-6-yl)methyl diphosphate // ATP // 6-(hydroxymethyl)-7,8-dihydropterin // glycolaldehyde // phosphate // D-erythro-7,8-dihydroneopterin // diphosphate // 7,8-dihydroneopterin 3'-phosphate // 7,8-dihydroneopterin 3'-triphosphate // formate // GTP // H2O // L-glutamate // L-glutamine // chorismate // pyruvate // 4-aminobenzoate // H+ // 4-amino-4-deoxychorismate	4-amino-4-deoxychorismate  ->  4-aminobenzoate + pyruvate + H+ // L-glutamine + chorismate  ->  4-amino-4-deoxychorismate + L-glutamate // GTP + H2O  ->  formate + 7,8-dihydroneopterin 3'-triphosphate + H+ // 7,8-dihydroneopterin 3'-triphosphate + H2O  ->  7,8-dihydroneopterin 3'-phosphate + diphosphate + H+ // 7,8-dihydroneopterin 3'-phosphate + H2O  ->  D-erythro-7,8-dihydroneopterin + phosphate // D-erythro-7,8-dihydroneopterin  ->  glycolaldehyde + 6-(hydroxymethyl)-7,8-dihydropterin // 6-(hydroxymethyl)-7,8-dihydropterin + ATP  ->  (7,8-dihydropterin-6-yl)methyl diphosphate + AMP + H+ // a tetrahydrofolate + NADP+  <-  a 7,8-dihydrofolate + NADPH + H+ // L-glutamate + 7,8-dihydropteroate + ATP  ->  ADP + 7,8-dihydrofolate monoglutamate + phosphate + H+ // 4-aminobenzoate + (7,8-dihydropterin-6-yl)methyl diphosphate  ->  7,8-dihydropteroate + diphosphate	N // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(NC1(\C=C/C(/C(=O)N[C@H](C(=O)[O-])CCC([O-])=O)=C\C=1))C2(CNC3(/N=C(N)\NC(=O)C(/N=2)=3)) // C(NC1(\C=C/C(/C(=O)[O-])=C\C=1))C2(CNC3(/N=C(N)\NC(=O)C(/N=2)=3)) // C1(\N(/C=C(C\C=1)/C(=O)N)[C@@H]2(O[C@@H]([C@H]([C@H]2O)O)COP(OP(OC[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](OP([O-])(=O)[O-])[C@H](O)5))(=O)[O-])(=O)[O-])) // C([R])(CC[C@@H](C(=O)[O-])NC(=O)C3(\C=C/C(/NCC1(CNC2(/N=C(N)\NC(=O)C(/N=1)=2)))=C\C=3))=O // [R] // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C1(C(/COP(=O)([O-])OP(=O)([O-])[O-])=N\C2(/C(=O)NC(/N)=N/C(\N1)=2)) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(O)C1(\CNC2(/N=C(N)\NC(=O)C(/N=1)=2)) // C(O)C=O // [O-]P(=O)(O)[O-] // C1(NC2(/N=C(N)\NC(=O)C(/N=C1/[C@H](O)[C@H](O)CO)=2)) // O=P(O)(OP([O-])([O-])=O)[O-] // C1(NC2(/N=C(N)\NC(=O)C(/N=C1/[C@H](O)[C@H](O)COP(=O)([O-])[O-])=2)) // C1(NC2(/N=C(N)\NC(=O)C(/N=C1/[C@H](O)[C@H](O)COP([O-])(=O)OP([O-])(=O)OP([O-])(=O)[O-])=2)) // C([O-])=O // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3) // O // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // C(=O)(N)CC[C@H]([NH3+])C([O-])=O // C=C(C(=O)[O-])O[C@H]1([C@H](O)\C=C/C(/C([O-])=O)=C\1) // CC(=O)C(=O)[O-] // C(=O)([O-])C1(\C=C/C(/N)=C\C=1) // [H+] // C=C(C(=O)[O-])O[C@H]1([C@H]([NH3+])\C=C/C(/C([O-])=O)=C\1)
thiamin salvage IV	4-amino-2-methyl-5-pyrimidinemethanol // 5-(2-hydroxyethyl)-4-methylthiazole // diphosphate // 4-methyl-5-(2-phosphooxyethyl)thiazole // phosphate // thiamine phosphate // H2O // AMP // thiamine diphosphate // H+ // thiamine // ADP // 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine // 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine // ATP	4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + ATP  ->  4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + ADP // thiamine + ATP  ->  AMP + thiamine diphosphate + H+ // acid phosphatase // 4-methyl-5-(2-phosphooxyethyl)thiazole + 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + H+  ->  thiamine phosphate + diphosphate // ATP + 5-(2-hydroxyethyl)-4-methylthiazole  ->  ADP + 4-methyl-5-(2-phosphooxyethyl)thiazole + H+ // ATP + 4-amino-2-methyl-5-pyrimidinemethanol  ->  ADP + 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + H+ // thiamine + H2O  ->  5-(2-hydroxyethyl)-4-methylthiazole + 4-amino-2-methyl-5-pyrimidinemethanol + H+	CC1(\N=C(C(/CO)=C\N=1)\N) // CC1(\N=C/SC(/CCO)=1) // O=P(O)(OP([O-])([O-])=O)[O-] // CC1(\N=C/SC(/CCOP([O-])(=O)[O-])=1) // [O-]P(=O)(O)[O-] // CC2(\[N+](/CC1(\C(\N)=N/C(\C)=N\C=1))=C/SC(/CCOP([O-])(=O)[O-])=2) // O // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // CC2(\[N+](/CC1(\C(\N)=N/C(\C)=N\C=1))=C/SC(/CCOP([O-])(=O)OP([O-])(=O)[O-])=2) // [H+] // CC2(\[N+](/CC1(\C(\N)=N/C(\C)=N\C=1))=C/SC(/CCO)=2) // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // CC1(\N=C(C(/COP([O-])(=O)OP([O-])(=O)[O-])=C\N=1)\N) // CC1(\N=C/C(/COP(=O)([O-])[O-])=C(N)\N=1) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
arsenate detoxification	an [arsenate reductase]-L-cysteine // thiarsahydroxy-[arsenate reductase] // S-glutathionyl-thiarsahydroxy-[arsenate reductase] // S-arsorososulfanethiol-[arsenate reductase] // a [glutaredoxin]-glutathione disulfide // arsenate // a reduced glutaredoxin // phosphate // ADP // ATP // H2O // arsenic triglutathione // glutathione // H+ // arsenite // arsenous acid	arsenous acid  <-->  arsenite + H+ // arsenous acid + 3 glutathione  ->  arsenic triglutathione + 3 H2O // arsenic triglutathione[cytosol] + ATP + H2O  ->  arsenic triglutathione[vacuolar lumen] + ADP + phosphate + H+ // arsenite:proton antiport // arsenate + reduced glutaredoxin + glutathione + 2 H+  ->  arsenous acid + [glutaredoxin]-glutathione disulfide + H2O	C(=O)([a protein])[C@@H](N[a protein])CS // C(=O)([an arsenate reductase])[C@@H](N[an arsenate reductase])CS[As](=O)(O)[O-] // C(=O)([an arsenate reductase])[C@H](CS[As](SC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)(=O)O)N[an arsenate reductase] // C(=O)([an arsenate reductase])[C@H](CS[As]=O)N[an arsenate reductase] // C(S)C(C(=O)N[a glutaredoxin])NC(=O)C([R2])NC(=O)C([R1])NC(=O)C(CSSC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)N[a glutaredoxin] // [As](=O)(O)([O-])[O-] // C(S)C(C(=O)NC([R1])C(=O)NC([R2])C(=O)NC(CS)C(=O)N[a glutaredoxin])N[a glutaredoxin] // [O-]P(=O)(O)[O-] // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // O // C(NC([C@@H](NC(=O)CC[C@H]([NH3+])C([O-])=O)CS[As](SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(NCC([O-])=O)=O)SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(NCC([O-])=O)=O)=O)C([O-])=O // C(S)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O // [H+] // [As](O)([O-])O // [As](O)(O)O
guanosine ribonucleotides de novo biosynthesis	ammonia // NADH // NAD+ // IMP // AMP // diphosphate // L-glutamate // H+ // XMP // H2O // L-glutamine // GMP // ADP // GTP // GDP // ATP	GDP + ATP  ->  GTP + ADP // GMP + ATP  <-->  GDP + ADP // XMP + L-glutamine + ATP + H2O  ->  L-glutamate + GMP + AMP + diphosphate + 2 H+ // IMP + NAD+ + H2O  <-->  XMP + NADH + H+	N // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // O=P(O)(OP([O-])([O-])=O)[O-] // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // [H+] // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(/NC(=O)NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3) // O // C(=O)(N)CC[C@H]([NH3+])C([O-])=O // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
phosphatidylcholine resynthesis via glycerophosphocholine	a carboxylate // a phosphatidylcholine // choline // sn-glycerol 3-phosphate // H+ // sn-glycero-3-phosphocholine // H2O	sn-glycero-3-phosphocholine + H2O  ->  sn-glycerol 3-phosphate + choline + H+ // phosphatidylcholine phospholipase	C([R])(=O)[O-] // C([N+](C)(C)C)COP(=O)(OC[C@H](OC([R2])=O)COC([R1])=O)[O-] // C(CO)[N+](C)(C)C // C(OP([O-])(=O)[O-])[C@H](O)CO // [H+] // C([N+](C)(C)C)COP([O-])(=O)OC[C@H](O)CO // O
ethylene glycol degradation	glycolate // H2O // H+ // NADH // glycolaldehyde // ethylene glycol // NAD+	ethylene glycol + NAD+  <-->  glycolaldehyde + NADH + H+ // glycolaldehyde + NAD+ + H2O  ->  glycolate + NADH + 2 H+	C(C(=O)[O-])O // O // [H+] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C(O)C=O // C(CO)O // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5)
UDP-N-acetylglucosamine biosynthesis	a phosphorylated phosphoacetylglucosamine mutase // N-acetyl-D-glucosamine 1,6-bisphosphate // a phosphoacetylglucosamine mutase // L-glutamate // beta-D-fructofuranose 6-phosphate // L-glutamine // coenzyme A // D-glucosamine 6-phosphate // acetyl-CoA // N-acetyl-D-glucosamine 6-phosphate // diphosphate // UDP-N-acetyl-alpha-D-glucosamine // H+ // N-acetyl-alpha-D-glucosamine 1-phosphate // UTP	N-acetyl-alpha-D-glucosamine 1-phosphate + UTP + H+  ->  UDP-N-acetyl-alpha-D-glucosamine + diphosphate // N-acetyl-D-glucosamine 6-phosphate  <-->  N-acetyl-alpha-D-glucosamine 1-phosphate // D-glucosamine 6-phosphate + acetyl-CoA  ->  N-acetyl-D-glucosamine 6-phosphate + coenzyme A + H+ // beta-D-fructofuranose 6-phosphate + L-glutamine  <-->  D-glucosamine 6-phosphate + L-glutamate	C(=O)([a phosphoacetylglucosamine mutase])[C@@H](N[a phosphoacetylglucosamine mutase])COP([O-])([O-])=O // CC(=O)N[C@H]1(C(OP([O-])(=O)[O-])O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)1) // C(=O)([a phosphoacetylglucosamine mutase])[C@@H](N[a phosphoacetylglucosamine mutase])CO // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // C(OP(=O)([O-])[O-])[C@H]1(O[C@@](CO)(O)[C@@H](O)[C@H](O)1) // C(=O)(N)CC[C@H]([NH3+])C([O-])=O // CC(C)(COP([O-])(=O)OP(OC[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](OP([O-])(=O)[O-])3))(=O)[O-])[C@@H](O)C(=O)NCCC(=O)NCCS // C(OP([O-])(=O)[O-])[C@H]1(OC(O)[C@H]([NH3+])[C@@H](O)[C@H](O)1) // CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP([O-])(OC[C@@H]1([C@@H](OP([O-])([O-])=O)[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))=O)([O-])=O // CC(=O)N[C@H]1(C(O)O[C@H](COP([O-])(=O)[O-])[C@@H](O)[C@H](O)1) // O=P(O)(OP([O-])([O-])=O)[O-] // CC(=O)N[C@H]3([C@@H](OP(OP(OC[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)O)O))(=O)[O-])(=O)[O-])O[C@@H]([C@H]([C@@H]3O)O)CO) // [H+] // CC(=O)N[C@@H]1([C@@H](O)[C@H](O)[C@@H](CO)O[C@H](OP([O-])(=O)[O-])1) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC1=O))[C@H](O)[C@H](O)2)
thiazole biosynthesis III	CO2 // 4-methyl-5-(2-phosphooxyethyl)thiazole // AMP // H+ // H2O // a [protein]-2-aminoprop-2-enoate // nicotinamide // ADP-5-ethyl-4-methylthiazole-2-carboxylate // glycine // a [protein]-L-cysteine // NAD+	glycine + a [protein]-L-cysteine + NAD+  ->  ADP-5-ethyl-4-methylthiazole-2-carboxylate + nicotinamide + a [protein]-2-aminoprop-2-enoate + 3 H2O + 2 H+ // ADP-5-ethyl-4-methylthiazole-2-carboxylate + H2O  ->  AMP + 4-methyl-5-(2-phosphooxyethyl)thiazole + CO2 + H+	C(=O)=O // CC1(\N=C/SC(/CCOP([O-])(=O)[O-])=1) // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // [H+] // O // C=C(N[a protein])C(=O)[a protein] // C1(\C=C/C(/C(=O)N)=C\N=1) // CC4(\N=C(C(=O)[O-])/SC(/CCOP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])=4) // C([NH3+])C([O-])=O // C(=O)([a protein])[C@@H](N[a protein])CS // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5)
glutaminyl-tRNAgln biosynthesis via transamidation	(L-glutamyl)adenylate // diphosphate // AMP // a tRNAGln // H+ // L-glutamate // L-glutamine // H2O // ADP // ATP // an L-glutamyl-[tRNAGln] // phosphate // an L-glutaminyl-[tRNAGln] // a 5-phosphooxy-L-glutamyl-[tRNAGln] // ammonia	5-phosphooxy-L-glutamyl-[tRNAGln] + ammonia  ->  L-glutaminyl-[tRNAGln] + phosphate // ATP + L-glutamyl-[tRNAGln]  ->  5-phosphooxy-L-glutamyl-[tRNAGln] + ADP // L-glutamine + H2O  ->  L-glutamate + ammonia + H+ // tRNAGln + L-glutamate + ATP  ->  L-glutamyl-[tRNAGln] + AMP + diphosphate	C(OP(OC(=O)[C@@H]([NH3+])CCC([O-])=O)(=O)[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // O=P(O)(OP([O-])([O-])=O)[O-] // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(O[C@H]4([C@@H](O)[C@H](N1(\C=C/C(/N)=N\C1=O))O[C@H](COP(O[C@H]3([C@@H](O)[C@H](N2(\C=C/C(/N)=N\C2=O))O[C@H](COP(=O)([O-])O[a tRNAGln])3))(=O)[O-])4))(=O)[O-])[C@H]7(O[C@@H](N5(C6(\C(\N=C/5)=C(N)/N=C\N=6)))[C@H](O)[C@H](O)7) // [H+] // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // C(=O)(N)CC[C@H]([NH3+])C([O-])=O // O // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(O[C@H]4([C@@H](O)[C@H](N1(\C=C/C(/N)=N\C1=O))O[C@H](COP(O[C@H]3([C@@H](O)[C@H](N2(\C=C/C(/N)=N\C2=O))O[C@H](COP(=O)([O-])O[a tRNAGln])3))(=O)[O-])4))(=O)[O-])[C@H]7(O[C@@H](N5(C6(\C(\N=C/5)=C(N)/N=C\N=6)))[C@H](OC(=O)[C@@H]([NH3+])CCC([O-])=O)[C@H](O)7) // [O-]P(=O)(O)[O-] // C(OP(O[C@H]4([C@@H](O)[C@H](N1(\C=C/C(/N)=N\C1=O))O[C@H](COP(O[C@H]3([C@@H](O)[C@H](N2(\C=C/C(/N)=N\C2=O))O[C@H](COP(=O)([O-])O[a tRNAGln])3))(=O)[O-])4))(=O)[O-])[C@H]7(O[C@@H](N5(C6(\C(\N=C/5)=C(N)/N=C\N=6)))[C@H](OC(=O)[C@@H]([NH3+])CCC(N)=O)[C@H](O)7) // C(OP(O[C@H]4([C@@H](O)[C@H](N1(\C=C/C(/N)=N\C1=O))O[C@H](COP(O[C@H]3([C@@H](O)[C@H](N2(\C=C/C(/N)=N\C2=O))O[C@H](COP(=O)([O-])O[a tRNAGln])3))(=O)[O-])4))(=O)[O-])[C@H]7(O[C@@H](N5(C6(\C(\N=C/5)=C(N)/N=C\N=6)))[C@H](OC(=O)[C@@H]([NH3+])CCC(OP([O-])(=O)[O-])=O)[C@H](O)7) // N
