Compound	InChI-Key	SMILES
alpha-D-Man-(1→2)-alpha-D-Man-(1→2)-alpha-D-Man-(1→3)-[alpha-D-Man-(1→2)-alpha-D-Man-(1→3)-[alpha-D-Man-(1→2)-alpha-D-Man-(1→6)]-alpha-D-Man-(1→6)]-beta-D-Man-(1→4)-beta-D-GlcNAc-(1→4)-alpha-D-glucosaminylamine	InChIKey=CBRCWZPEYRVZSO-ZGFWTNSWSA-O	CC(N[C@H]%11([C@H]([NH3+])O[C@H](CO)[C@@H](O[C@H]%10([C@H](NC(=O)C)[C@H]([C@H](O[C@H]1([C@@H](O)[C@H]([C@H](O)[C@H](O1)CO[C@@H]2([C@@H](O)[C@H]([C@H](O)[C@H](O2)CO[C@H]3(O[C@@H]([C@H]([C@@H]([C@@H]3O[C@@H]4([C@H]([C@@H](O)[C@H](O)[C@@H](CO)O4)O))O)O)CO))O[C@@H]6([C@@H](O[C@@H]5([C@H]([C@@H](O)[C@H](O)[C@@H](CO)O5)O))[C@H]([C@H](O)[C@@H](CO)O6)O)))O[C@@H]9([C@@H](O[C@@H]8([C@@H](O[C@@H]7([C@@H](O)[C@H]([C@H](O)[C@@H](CO)O7)O))[C@H]([C@H](O)[C@H](O8)CO)O))[C@@H](O)[C@@H]([C@H](O9)CO)O)))[C@@H](CO)O%10)O))[C@H](O)%11))=O
sulfate	InChIKey=QAOWNCQODCNURD-UHFFFAOYSA-L	O=S(=O)([O-])[O-]
kynurenate	InChIKey=HCZHHEIFKROPDY-UHFFFAOYSA-L	C2(\C=C1(C(/N=C(/C=C1/[O-])/C(=O)[O-])=C\C=2))
5-acetamidovalerate	InChIKey=TZZSWAXSIGWXOS-UHFFFAOYSA-M	CC(NCCCCC([O-])=O)=O
4-guanidinobutanoate	InChIKey=TUHVEAJXIMEOSA-UHFFFAOYSA-N	C([O-])(=O)CCCNC(N)=[NH2+]
CDP-ethanolamine	InChIKey=WVIMUEUQJFPNDK-PEBGCTIMSA-M	C(COP(OP(OC[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O))(=O)[O-])([O-])=O)[NH3+]
2-all trans-hexaprenyl-6-methoxyaminobenzene	InChIKey=JGVGCZFKHHNOKU-DUBIXASGSA-N	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(/C=C\C=C(C(/N)=1)\OC)
L-glutamine	InChIKey=ZDXPYRJPNDTMRX-VKHMYHEASA-N	C(=O)(N)CC[C@H]([NH3+])C([O-])=O
a [1-Cys peroxiredoxin]-(S-hydroxycysteine)		C(=O)([a peroxiredoxin])[C@H](CSO)N[a peroxiredoxin]
2,3-didehydro-L-gulonate	InChIKey=GJQWCDSAOUMKSE-STHAYSLISA-M	C([C@@H]([C@H](C(C(C([O-])=O)=O)=O)O)O)O
3,5-bisdiphosphoinositol-1D-myo-inositol 2,3,4,6-tetrakisphosphate	InChIKey=HHQOOERQSFJGEP-ZSIQDKGESA-A	[C@@H]1(OP([O-])([O-])=O)([C@H](OP([O-])(=O)[O-])[C@@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])OP([O-])(=O)[O-])[C@@H](OP([O-])([O-])=O)1)
3-methylbut-3-en-1-yl diphosphate	InChIKey=NUHSROFQTUXZQQ-UHFFFAOYSA-K	C=C(C)CCOP([O-])(=O)OP([O-])(=O)[O-]
